ID,Watch,Call (911) Problem,Type of Incident,Type  Location,Division,Council District,Date of Report,Date incident created,Person Involvement Type,Victim Type,Victim Race,Victim Ethnicity,Victim Gender,NIBRS Crime Category,NIBRS Group,Date of Incident,Call Duration (Minutes),Zone
11,1,11V - BURG MOTOR VEH,BMV,"Highway, Street, Alley ETC",NORTHEAST,D9,2020-04-12 20:44:00.0000000,2020-04-12 20:48:27.0000000,Victim,Individual,White,Non-Hispanic or Latino,Female,LARCENY/ THEFT OFFENSES,A,2020-04-03 21:00:00,64.98333333333333,5
12,1,6X - MAJOR DIST (VIOLENCE),ASSAULT -VERBAL THREAT,Parking (Business),NORTH CENTRAL,D11,2022-08-04 07:39:00.0000000,2022-08-04 07:28:24.0000000,Victim,Individual,White,Non-Hispanic or Latino,Female,ASSAULT OFFENSES,A,2022-08-04 07:00:00,57.733333333333334,0
13,2,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Grocery/Supermarket,SOUTHWEST,D4,2023-10-12 03:55:00.0000000,2023-10-12 03:28:51.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2023-10-11 15:30:00,785.65,3
14,1,DAEF-DIST ARMED ENCOUNTER FOOT,ASSAULT (AGG) -DEADLY WEAPON,Restaurant/Food Service/TABC Location,SOUTH CENTRAL,D4,2024-05-04 00:29:00.0000000,2024-05-04 01:16:31.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,ASSAULT OFFENSES,A,2024-05-04 00:20:00,207.45,6
15,3,09V-01 UUMV JUST OCRD,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking (Business),SOUTHEAST,D5,2024-08-08 19:34:00.0000000,2024-08-08 19:08:04.0000000,Registered Owner,Individual,Hispanic or Latino,Hispanic or Latino,Female,MOTOR VEHICLE THEFT,A,2024-08-08 17:49:00,249.73333333333332,4
16,2,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Parking (Business),NORTHWEST,D2,2021-03-01 17:32:00.0000000,2021-03-01 18:02:36.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,LARCENY/ THEFT OFFENSES,A,2021-01-06 12:00:00,72.66666666666667,1
17,2,11V - BURG MOTOR VEH,BMV,Parking (Business),NORTHWEST,D13,2021-03-05 19:21:00.0000000,2021-03-05 19:14:03.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,LARCENY/ THEFT OFFENSES,A,2021-03-05 11:48:00,278.28333333333336,1
18,2,09/01 - THEFT,THEFT FROM BUILDING <$100 (NOT SHOPLIFT),Other,NORTHWEST,D2,2021-04-04 15:01:00.0000000,2021-04-04 16:37:12.0000000,Victim,Individual,White,Non-Hispanic or Latino,Female,LARCENY/ THEFT OFFENSES,A,2021-04-04 15:00:00,123.03333333333333,1
19,1,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Complex/Building,NORTHEAST,D13,2023-04-16 14:49:00.0000000,2023-04-16 14:35:30.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,MOTOR VEHICLE THEFT,A,2023-04-13 23:00:00,3266.15,5
20,3,09V-01 UUMV JUST OCRD,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Apartment Complex/Building,NORTH CENTRAL,D12,2020-06-07 23:28:00.0000000,2020-06-08 00:41:42.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2020-06-07 22:50:00,257.15,0
21,1,7X - MAJOR ACCIDENT,ASSAULT (AGG) - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,Apartment Parking Lot,NORTHWEST,D6,2020-08-10 02:50:00.0000000,2020-08-13 08:13:33.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MISCELLANEOUS,C,2020-08-10 02:30:00,28.0,1
22,3,6X - MAJOR DIST (VIOLENCE),CRIM MISCHIEF > OR EQUAL $100 < $750,Condominium/Townhome Building,NORTHEAST,D10,2022-05-18 22:30:00.0000000,2022-05-19 01:57:44.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,A,2022-05-18 22:30:00,240.56666666666666,5
23,1,58 - ROUTINE INVESTIGATION,THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),Apartment Parking Lot,NORTHEAST,D10,2021-11-17 09:52:00.0000000,2021-11-17 09:55:08.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,LARCENY/ THEFT OFFENSES,A,2021-11-16 19:00:00,10.666666666666666,5
24,3,"14 - STABBING, CUTTING",ASSAULT (AGG) -DEADLY WEAPON,Apartment Complex/Building,NORTH CENTRAL,D11,2024-08-08 22:34:00.0000000,2024-08-09 01:46:08.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,ASSAULT OFFENSES,A,2024-08-08 22:00:00,310.15,0
25,1,PSE/11V - BURG MOTOR VEH,BMV,"Highway, Street, Alley ETC",NORTHWEST,D14,2024-06-22 09:11:00.0000000,2024-06-22 09:08:49.0000000,Victim,Individual,White,Non-Hispanic or Latino,Female,LARCENY/ THEFT OFFENSES,A,2024-06-21 20:00:00,231.9,2
26,1,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Single Family Residence - Occupied,SOUTH CENTRAL,D8,2021-11-25 10:15:00.0000000,2021-11-25 11:27:41.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,MOTOR VEHICLE THEFT,A,2021-11-25 06:38:00,269.1666666666667,6
27,3,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),NORTHWEST,D6,2023-10-26 19:18:00.0000000,2023-10-26 23:08:36.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,LARCENY/ THEFT OFFENSES,A,2023-10-26 19:08:00,270.68333333333334,1
28,1,40/01 - OTHER,UNEXPLAINED DEATH (NO OFFENSE),"Highway, Street, Alley ETC",CENTRAL,D2,2024-01-26 06:05:00.0000000,2024-01-26 05:47:09.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,MISCELLANEOUS,C,2024-01-26 05:25:00,152.3,2
29,1,58 - ROUTINE INVESTIGATION,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,"Highway, Street, Alley ETC",NORTHEAST,D9,2024-06-19 07:59:00.0000000,2024-06-19 09:31:50.0000000,Victim,Individual,White,Non-Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2024-06-18 20:00:00,227.43333333333334,5
30,1,31 - CRIMINAL MISCHIEF,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Apartment Parking Lot,NORTHEAST,D10,2022-03-30 13:29:00.0000000,2022-03-30 13:40:29.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,A,2022-03-30 03:00:00,92.68333333333334,5
31,3,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,"Highway, Street, Alley ETC",SOUTHEAST,D7,2022-08-07 03:30:00.0000000,2022-08-07 07:19:10.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2022-08-06 19:00:00,294.2,4
32,2,11V/01 - BURG MOTOR VEH,BMV,"Highway, Street, Alley ETC",CENTRAL,D2,2020-06-13 19:13:00.0000000,2020-06-13 18:59:25.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,LARCENY/ THEFT OFFENSES,A,2020-06-13 08:30:00,673.7666666666667,2
33,3,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",CENTRAL,D7,2023-09-29 23:50:00.0000000,2023-09-30 00:17:36.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2023-09-29 20:00:00,143.96666666666667,2
34,1,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,"Highway, Street, Alley ETC",SOUTHWEST,D6,2021-12-03 07:00:00.0000000,2021-12-03 07:07:10.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2021-12-02 19:30:00,715.95,2
35,3,PSE/09 - THEFT,"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",Outdoor Area Public/Private,NORTHEAST,D7,2024-09-23 14:32:00.0000000,2024-09-23 19:45:29.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,LARCENY/ THEFT OFFENSES,A,2024-09-22 19:20:00,340.8333333333333,4
36,1,58 - ROUTINE INVESTIGATION,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking (Business),NORTHEAST,D10,2021-03-02 14:30:00.0000000,2021-02-03 14:39:53.0000000,Registered Owner,Individual,Middle Eastern,Non-Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2021-02-26 00:00:00,0.7833333333333333,5
37,3,**PD REQUESTED BY FIRE,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Outdoor Area Public/Private,SOUTHWEST,D3,2020-11-23 01:10:00.0000000,2020-11-23 01:45:26.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2020-11-22 21:00:00,260.9,3
38,1,PSE/31- CRIMINAL MISCHIEF,"CRIM MISCHIEF >OR EQUAL $750 < $2,500","Highway, Street, Alley ETC",SOUTH CENTRAL,D8,2020-07-14 06:15:00.0000000,2020-07-14 06:59:45.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,A,2020-07-13 19:00:00,192.93333333333334,6
39,2,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Complex/Building,SOUTHWEST,D1,2021-08-12 17:01:00.0000000,2021-08-12 17:07:43.0000000,Registered Owner,Individual,Hispanic or Latino,Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2021-08-12 13:30:00,51.53333333333333,3
40,1,PSE/09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Single Family Residence - Occupied,NORTHEAST,D9,2024-06-17 11:53:00.0000000,2024-06-17 15:16:09.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,MOTOR VEHICLE THEFT,A,2024-06-17 00:00:00,268.8,5
41,3,09V-01 UUMV JUST OCRD,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,NORTH CENTRAL,D12,2021-04-16 19:51:00.0000000,2021-04-16 19:32:56.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,MOTOR VEHICLE THEFT,A,2021-04-16 18:40:00,118.88333333333334,0
42,3,40/01 - OTHER,NATURAL DEATH (NO OFFENSE),Apartment Complex/Building,NORTHEAST,D10,2020-09-16 23:01:00.0000000,2020-09-16 21:56:28.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,MISCELLANEOUS,C,2020-09-16 21:41:00,207.66666666666666,5
43,2,58 - ROUTINE INVESTIGATION,CRIM MISCHIEF -PRELIMINARY INVESTIGATION,Single Family Residence - Occupied,SOUTH CENTRAL,D8,2023-06-30 12:50:00.0000000,2023-05-14 06:42:29.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,MISCELLANEOUS,C,2023-04-29 12:18:00,123.9,6
44,3,41/20 - ROBBERY - IN PROGRESS,ASSAULT (AGG) - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,"Highway, Street, Alley ETC",NORTHWEST,D6,2024-02-23 21:06:00.0000000,2024-02-23 19:40:11.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MISCELLANEOUS,C,2024-02-23 19:07:00,163.6,1
45,1,58 - ROUTINE INVESTIGATION,ACCIDENT INV DAMAGE TO VEHICLE <$200,Parking (Business),NORTHWEST,D6,2020-12-08 12:32:00.0000000,2020-12-08 11:53:05.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,MISCELLANEOUS,C,2020-12-06 03:00:00,0.26666666666666666,1
46,2,09V - UUMV,TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,"Highway, Street, Alley ETC",SOUTHEAST,D8,2020-11-03 09:14:00.0000000,2020-11-03 09:43:06.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,TRAFFIC VIOLATION - HAZARDOUS,C,2020-11-03 09:14:00,670.85,4
47,1,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,CENTRAL,D2,2022-08-01 05:14:00.0000000,2022-08-01 05:39:51.0000000,Victim,Individual,White,Non-Hispanic or Latino,Male,LARCENY/ THEFT OFFENSES,A,2022-07-31 22:00:00,46.45,2
48,1,31 - CRIMINAL MISCHIEF,RECKLESS DAMAGE,Apartment Parking Lot,SOUTH CENTRAL,D8,2021-09-07 11:16:00.0000000,2021-09-07 11:09:43.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,ALL OTHER OFFENSES,B,2021-09-07 01:00:00,79.33333333333333,6
49,1,11B - BURG OF BUS,BURGLARY OF BUILDING - FORCED ENTRY,Storage Facility,NORTHWEST,D2,2022-11-02 14:37:00.0000000,2022-11-02 18:16:19.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,BURGLARY/ BREAKING & ENTERING,A,2022-10-31 15:30:00,283.8666666666667,2
50,1,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking (Business),NORTHWEST,D2,2023-09-22 09:46:00.0000000,2023-09-22 09:01:02.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2023-09-22 06:00:00,186.16666666666666,1
51,3,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Parking Lot (All Others),CENTRAL,D14,2020-06-26 01:17:00.0000000,2020-06-26 01:17:47.0000000,Victim,Individual,White,Non-Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2020-06-23 18:30:00,510.1166666666667,2
52,1,58 - ROUTINE INVESTIGATION,TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,"Highway, Street, Alley ETC",NORTH CENTRAL,D11,2022-07-03 15:36:00.0000000,2022-07-03 15:38:24.0000000,Victim,Individual,White,Non-Hispanic or Latino,Male,TRAFFIC VIOLATION - HAZARDOUS,C,2022-07-02 22:00:00,1.9666666666666666,0
53,3,31 - CRIMINAL MISCHIEF,"CRIM MISCHIEF >OR EQUAL $750 < $2,500",Convenience Store,SOUTHWEST,D1,2022-07-11 17:30:00.0000000,2022-07-11 18:32:43.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,A,2022-07-11 17:00:00,88.8,3
54,1,ODJ - OFF DUTY JOB,PUBLIC INTOXICATION,Bar/NightClub/DanceHall ETC.,NORTHWEST,D6,2022-05-27 02:20:00.0000000,2022-05-27 02:10:57.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,PUBLIC INTOXICATION,B,2022-05-27 01:50:00,252.03333333333333,1
55,1,15 - ASSIST OFFICER,INJURED PERSON- PUBLIC PROPERTY (OTHER THAN FIREARM) (NO OFFENSE),Hotel/Motel/ETC,CENTRAL,D14,2020-12-29 03:01:00.0000000,2020-12-29 02:17:34.0000000,Victim,Individual,White,Non-Hispanic or Latino,Male,MISCELLANEOUS,C,2020-12-29 01:57:00,69.01666666666667,2
56,2,58 - ROUTINE INVESTIGATION,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Hotel/Motel/ETC,SOUTHWEST,D3,2024-07-04 15:22:00.0000000,2024-07-12 15:30:16.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,LARCENY/ THEFT OFFENSES,A,2024-07-02 08:52:00,45.766666666666666,3
57,1,PSE/11V - BURG MOTOR VEH,BMV,Parking Lot (All Others),NORTHWEST,D2,2020-08-12 11:51:00.0000000,2020-08-12 12:12:49.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,LARCENY/ THEFT OFFENSES,A,2020-08-11 18:45:00,65.98333333333333,1
58,3,PSE/09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Complex/Building,NORTHEAST,D7,2024-08-25 01:00:00.0000000,2024-08-25 01:10:02.0000000,Registered Owner,Individual,Hispanic or Latino,Hispanic or Latino,Female,MOTOR VEHICLE THEFT,A,2024-08-24 12:00:00,256.46666666666664,4
59,3,58 - ROUTINE INVESTIGATION,THEFT - PRELIMINARY INVESTIGATION,Parking (Business),SOUTH CENTRAL,D4,2023-11-03 10:19:00.0000000,2023-11-03 10:18:01.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,MISCELLANEOUS,C,2023-11-02 17:00:00,36.666666666666664,6
60,3,DAEF-DIST ARMED ENCOUNTER FOOT,DISORDERLY CONDUCT DISCHARGE/DISPLAY FIREARM,Apartment Complex/Building,SOUTHWEST,D4,2023-09-18 19:03:00.0000000,2023-09-18 19:41:22.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,ASSAULT OFFENSES,A,2023-09-18 19:03:00,74.18333333333334,6
61,3,40 - OTHER,HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,Apartment Residence,NORTHEAST,D7,2021-06-02 03:36:00.0000000,2021-06-02 03:39:59.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,ASSAULT OFFENSES,A,2021-06-01 17:56:00,594.9833333333333,4
62,2,40 - OTHER,UNLAWFUL INSTALLATION OF TRACKING DEVICE,Parking Lot (All Others),NORTHWEST,D6,2023-12-08 17:47:00.0000000,2023-12-08 18:14:42.0000000,Victim,Individual,White,Non-Hispanic or Latino,Male,ALL OTHER OFFENSES,B,2023-12-08 06:00:00,224.85,1
63,1,41/11V - BMV-IN PROGRESS,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,"Highway, Street, Alley ETC",NORTHWEST,D6,2024-08-07 04:38:00.0000000,2024-08-07 05:29:15.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2024-08-07 04:00:00,201.1,1
64,1,58 - ROUTINE INVESTIGATION,FOUND PROPERTY (NO OFFENSE),"Highway, Street, Alley ETC",CENTRAL,D14,2022-06-19 07:01:00.0000000,2022-06-19 07:04:52.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,MISCELLANEOUS,C,2022-06-19 06:59:00,53.31666666666667,2
65,2,58 - ROUTINE INVESTIGATION,ASSAULT -BODILY INJURY ONLY,Single Family Residence - Occupied,SOUTH CENTRAL,D8,2022-06-10 12:07:00.0000000,2022-06-10 12:08:15.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,ASSAULT OFFENSES,A,2022-06-10 12:00:00,64.6,6
66,2,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Outdoor Area Public/Private,SOUTHEAST,D8,2022-11-01 13:01:00.0000000,2022-11-01 10:50:51.0000000,Owner,Individual,White,Non-Hispanic or Latino,Male,MOTOR VEHICLE THEFT,A,2022-10-27 11:00:00,1573.8333333333333,4
67,1,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Complex/Building,CENTRAL,D2,2023-02-26 13:26:00.0000000,2023-02-26 18:20:47.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,BURGLARY/ BREAKING & ENTERING,A,2023-02-17 18:00:00,391.6166666666667,2
68,3,DAEF-DIST ARMED ENCOUNTER FOOT,TERRORISTIC THREAT FEAR IMMINENT SBI,Apartment Complex/Building,NORTHEAST,D7,2021-10-16 21:33:00.0000000,2021-10-16 22:42:05.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,ASSAULT OFFENSES,A,2021-10-16 21:32:00,346.78333333333336,4
69,1,31 - CRIMINAL MISCHIEF,"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",Outdoor Area Public/Private,SOUTHWEST,D1,2022-01-15 17:05:00.0000000,2022-01-15 16:20:28.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,A,2022-01-15 01:00:00,1021.9,3
70,2,**PD REQUESTED BY FIRE,NATURAL DEATH (NO OFFENSE),Single Family Residence - Occupied,NORTHWEST,D6,2024-12-17 20:01:00.0000000,2024-12-17 21:01:56.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,MISCELLANEOUS,C,2024-12-17 11:00:00,304.53333333333336,1
71,3,11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Apartment Parking Lot,SOUTHWEST,D6,2023-05-21 06:25:00.0000000,2023-05-21 09:09:48.0000000,Victim,Individual,White,Non-Hispanic or Latino,Female,MOTOR VEHICLE THEFT,A,2023-05-19 17:15:00,312.9166666666667,2
72,2,**PD REQUESTED BY FIRE,NATURAL DEATH (NO OFFENSE),Single Family Residence - Occupied,NORTHEAST,D7,2021-07-09 14:20:00.0000000,2021-07-09 13:05:09.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,MISCELLANEOUS,C,2021-07-09 12:00:00,217.91666666666666,4
73,1,07 - MINOR ACCIDENT,TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,Parking Lot (All Others),NORTHEAST,D7,2020-06-14 07:40:00.0000000,2020-06-14 09:46:35.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,TRAFFIC VIOLATION - HAZARDOUS,C,2020-06-14 00:00:00,425.01666666666665,4
74,1,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Single Family Residence - Occupied,SOUTH CENTRAL,D8,2021-08-21 12:05:00.0000000,2021-08-21 12:10:45.0000000,Registered Owner,Individual,Black,Non-Hispanic or Latino,Female,MOTOR VEHICLE THEFT,A,2021-08-20 21:30:00,182.9,6
75,2,07 - MINOR ACCIDENT,RECKLESS DAMAGE,Hotel/Motel/ETC,NORTHEAST,D9,2021-07-09 21:47:00.0000000,2021-07-10 20:39:24.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Male,ALL OTHER OFFENSES,B,2021-07-09 09:00:00,1401.2666666666667,5
76,1,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,Condominium/Townhome Residence,SOUTHWEST,D3,2021-07-21 07:24:00.0000000,2021-07-21 08:17:28.0000000,Victim,Individual,Black,Non-Hispanic or Latino,Female,MOTOR VEHICLE THEFT,A,2021-07-21 05:00:00,172.21666666666667,3
77,3,40 - OTHER,ATTACK BY DANGEROUS DOG,Single Family Residence - Occupied,SOUTHWEST,D1,2020-10-18 10:55:00.0000000,2020-10-18 11:47:42.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MISCELLANEOUS,C,2020-10-16 21:30:00,118.95,3
78,1,19 - SHOOTING,ASSAULT (AGG) - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,Other,NORTHEAST,D13,2021-08-25 06:36:00.0000000,2021-08-25 04:26:40.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Male,MISCELLANEOUS,C,2021-08-25 03:15:00,359.6166666666667,5
79,1,PSE/31- CRIMINAL MISCHIEF,RECKLESS DAMAGE,Outdoor Area Public/Private,CENTRAL,D14,2020-11-01 08:12:00.0000000,2020-11-01 09:28:51.0000000,Victim,Individual,Hispanic or Latino,Hispanic or Latino,Female,ALL OTHER OFFENSES,B,2020-10-31 23:00:00,107.15,2
